model,N,events,reference_HR,reference_CI_low,reference_CI_high,adjusted_HR,adjusted_CI_low,adjusted_CI_high,adjusted_p,reference_beta,adjusted_beta,abs_beta_attenuation_percent,LR_chi2_added_block,LR_df,LR_p_added_block
Scanner/protocol,936,105,1.24481453739488,1.0536261947785026,1.4706954327719466,1.1965933239490678,1.012841592566019,1.4136816590360832,0.0348609382854649,0.2189865528722545,0.1794786227747673,18.04125850619425,12.39567458901854,5,0.0297504719811555
Within-scan motion,1131,115,1.2576291341828287,1.0709570722601396,1.476838876284359,1.2661480879037863,1.0766085636013407,1.489056500850982,0.0043427515762942,0.2292283089184454,0.2359792899489303,-2.945090448181372,0.8033572451522559,1,0.3700915001855802
Head orientation,1131,115,1.2576291341828287,1.0709570722601396,1.476838876284359,1.2774189156022535,1.0899342962962424,1.4971536279604485,0.0024998258217138,0.2292283089184454,0.2448415699285088,-6.811227236169255,10.019340814499856,3,0.0184024448634097
Acquisition-plane orientation,1131,115,1.2576291341828287,1.0709570722601396,1.476838876284359,1.2657247267030771,1.0773681205597176,1.4870117773257228,0.0041508458318293,0.2292283089184454,0.2356448646158627,-2.7991986363691783,7.943261258336406,2,0.0188426826427158
Motion + head orientation,1131,115,1.2576291341828287,1.0709570722601396,1.476838876284359,1.2855171493919588,1.0953793346546432,1.508659410579307,0.0021014531379738,0.2292283089184454,0.2511610882742294,-9.56809368758515,11.289633261294966,4,0.0234947207043171
All technical except acquisition plane,936,105,1.24481453739488,1.0536261947785026,1.4706954327719466,1.2470682703599716,1.0499395583711404,1.4812083786530452,0.0119006719552685,0.2189865528722545,0.2207954128817147,-0.8260141939014081,22.88519986106633,9,0.0064593546792735
All technical covariates,936,105,1.24481453739488,1.0536261947785026,1.4706954327719466,1.2320488057456134,1.03743692589057,1.463167756860147,0.0173618648626226,0.2189865528722545,0.20867847937993,4.707171904905793,24.698386269606885,11,0.0100895545779849
