analysis,term,n,events,HR,CI_low,CI_high,Wald_p,LR_chi2,LR_p
Full cohort,absolute_ai_fixed_z,1131,115,1.2575016658636384,1.0709246088955124,1.4765842772823148,0.0051709266856416,6.429391728719793,0.0112247013258186
Exclude top 1% Absolute AI,absolute_ai_fixed_z,1119,114,1.2828599140600556,1.0738879549748703,1.5324965248731972,0.0060373070488507,6.805843457486617,0.0090860023115502
Exclude top 2.5% Absolute AI,absolute_ai_fixed_z,1102,111,1.315815669411211,1.0710251978926038,1.6165547545237915,0.0089669308499121,6.561549936947813,0.0104205564920557
Exclude top 5% Absolute AI,absolute_ai_fixed_z,1074,104,1.2041996009670182,0.9444957297578748,1.535313112893442,0.1338148945482037,2.208719234620048,0.137232562225373
