analysis,term,n,events,HR,CI_low,CI_high,Wald_p,LR_chi2,LR_p
No influence removal,absolute_alps_diff_z,1131,115,1.2575016658636384,1.0709246088955124,1.4765842772823148,0.0051709266856416,6.429391728719793,0.0112247013258186
Remove top 1 delta-beta observations,absolute_alps_diff_z,1130,114,1.2326581587960606,1.0491348703937895,1.448284848139853,0.0109862498764612,5.206372162283969,0.0225042453709097
Remove top 5 delta-beta observations,absolute_alps_diff_z,1126,112,1.2422539727442816,1.0553525979729856,1.462255302884517,0.0091188857044571,5.098622430502928,0.023944852796021
Remove top 10 delta-beta observations,absolute_alps_diff_z,1121,109,1.2186979300209777,1.031710389269477,1.439575156056205,0.0199490423217559,3.6945242439387584,0.0545913489065483
