model,N,events,reference_HR,reference_CI_low,reference_CI_high,adjusted_HR,adjusted_CI_low,adjusted_CI_high,adjusted_p,reference_beta,adjusted_beta,abs_beta_attenuation_percent,LR_chi2_added_block,LR_df,dropped_nonvarying_covariates,LR_p_added_block
Motion sensitivity: Mean relative RMS (primary),1131,115,1.2576291341828287,1.0709570722601396,1.476838876284359,1.2661480879037863,1.0766085636013407,1.489056500850982,0.0043427515762942,0.2292283089184454,0.2359792899489303,-2.945090448181372,0.8033572451522559,1,,0.3700915001855802
Motion sensitivity: Mean restricted relative RMS,1131,115,1.2576291341828287,1.0709570722601396,1.476838876284359,1.2676065162570966,1.0778530968634994,1.4907655641879587,0.0041554312694747,0.2292283089184454,0.2371304894470836,-3.447296961672215,0.7452567149168772,1,,0.3879821507527137
Motion sensitivity: P95 relative RMS,1131,115,1.2576291341828287,1.0709570722601396,1.476838876284359,1.266714282952413,1.0773587343659503,1.489350783033256,0.004210632723339,0.2292283089184454,0.2364263691622127,-3.1401270976213524,0.953374813440405,1,,0.3288617527246124
Motion sensitivity: Outlier-slice fraction,1131,115,1.2576291341828287,1.0709570722601396,1.476838876284359,1.2548837235295764,1.066684768931108,1.4762872832218707,0.0061692296216261,0.2292283089184454,0.2270429177173749,0.9533688100661328,0.4885354135826674,1,,0.4845813512539968
