analysis,term,n,events,HR,CI_low,CI_high,Wald_p,LR_chi2,LR_p
Left ALPS,alps_L_z,1131,115,0.9834809662112988,0.8025455785607334,1.2052085722464836,0.8724255719895945,0.0249246817686525,0.8745548834594112
Right ALPS,alps_R_z,1131,115,0.9718349332458874,0.788917406952201,1.1971635169336068,0.7882921950876659,0.0748891071687012,0.7843468867139812
Mean ALPS,mean_alps_calc_z,1131,115,0.9756516254767756,0.7952098018451748,1.1970376774616345,0.8132406233248055,0.0540301645037288,0.8161932587922391
Signed L-R difference,signed_alps_LminusR_z,1131,115,1.0154484405604414,0.8218346239724812,1.2546752173234788,0.887052749871758,0.024520662943587,0.8755673931429799
Absolute |L-R| difference,absolute_alps_diff_z,1131,115,1.2575016658636384,1.0709246088955124,1.4765842772823148,0.0051709266856416,6.429391728719793,0.0112247013258186
