model,term,n,events,HR,CI_low,CI_high,Wald_p,coef,SE
M_A_absoluteAI,absolute_alps_diff_z,1131,115,1.2575016658636384,1.0709246088955124,1.4765842772823148,0.0051709266856416,0.2291269477333357,0.0819426036398624
M_Z_zAssoc,z_assoc_absolute_diff_z,1131,115,1.1868235342942508,1.0681726725885647,1.3186539383574338,0.001436931370892,0.1712804392802584,0.0537413106505697
M_AZ_joint,absolute_alps_diff_z,1131,115,1.1859739549975836,0.98694475275294,1.4251397740443787,0.0687956107520885,0.1705643399613687,0.0937290467818581
M_AZ_joint,z_assoc_absolute_diff_z,1131,115,1.135420731782713,1.0012715733119142,1.287543032803537,0.0477290258617524,0.1270032710405904,0.064150416275554
