adjustment,definition,N,events,HR_per_1SD,CI_low,CI_high,Wald_p,LR_chi2,LR_p
Core adjusted,Raw absolute difference |L-R|,1131,115,1.2576291341828287,1.0709570722601396,1.476838876284359,0.0051709266856416,6.429391728719793,0.0112247013258186
Core adjusted,Relative absolute asymmetry 2|L-R|/(L+R),1131,115,1.2196058246426469,1.0491387655982762,1.417770857655852,0.0097539584816762,5.452974508666102,0.019535038346037
Core adjusted,Absolute log-ratio |log(L/R)|,1131,115,1.2193626080938478,1.0495216164297032,1.416688467146993,0.0095545026368513,5.459436850552947,0.019462918482316
All-technical adjusted,Raw absolute difference |L-R|,936,105,1.2320488057456132,1.0374369258905698,1.463167756860147,0.0173618648626226,4.754482496539367,0.029222078632235
All-technical adjusted,Relative absolute asymmetry 2|L-R|/(L+R),936,105,1.1975080386130768,1.021625123647936,1.4036709448006095,0.0261522356387764,4.048925057799352,0.0441994812015632
All-technical adjusted,Absolute log-ratio |log(L/R)|,936,105,1.1970327824846447,1.021788494639891,1.402332762464627,0.0259571543998435,4.044526034525234,0.0443148210322762
