contrast,time,lower_asymmetry_z,lower_adjusted_risk,higher_asymmetry_z,higher_adjusted_risk,absolute_risk_difference,bootstrap_B_requested,bootstrap_B_successful,lower_risk_CI_low,lower_risk_CI_high,higher_risk_CI_low,higher_risk_CI_high,risk_difference_CI_low,risk_difference_CI_high,N,events,time_days
0 SD vs +1 SD,36_month,0.0,0.0835954779048123,1.0,0.0994214191418094,0.0158259412369971,500,500,0.0656576648559933,0.1018892109407939,0.0768112124254907,0.1205932308480712,0.0034103951190551,0.0272258443013103,1131,115,1095.75
0 SD vs +1 SD,60_month,0.0,0.1460137330250017,1.0,0.1691066960541555,0.0230929630291537,500,500,0.1206429992663271,0.1695945268515545,0.13787267519879,0.1983706821277894,0.0054485611349111,0.0401943326622254,1131,115,1826.25
