analysis,term,n,events,HR,CI_low,CI_high,Wald_p,LR_chi2,LR_p
x_proj absolute L-R asymmetry,x_proj_absolute_diff_z,1131,115,0.950452019010368,0.8267058024398396,1.0927213015498622,0.4752020622755457,0.3441206035631694,0.5574603334861341
x_assoc absolute L-R asymmetry,x_assoc_absolute_diff_z,1131,115,1.188687337156736,1.013785427948136,1.393763952966444,0.0332901921240244,4.2883982879029645,0.0383732997650444
y_proj absolute L-R asymmetry,y_proj_absolute_diff_z,1131,115,1.0713566782575537,0.9246596982995438,1.2413270894772224,0.358932936309868,0.650786615756715,0.419831584244083
z_assoc absolute L-R asymmetry,z_assoc_absolute_diff_z,1131,115,1.1868235342942508,1.0681726725885647,1.3186539383574338,0.001436931370892,6.45592091642834,0.011058321412564
